URL,Tag1,Tag2,Tag3,Trustworthy
dailystormer.com,hate,conspiracy,bias,0
dailytelegraph.com.au,unknown,,,0
dailywire.com,bias,,,0
dandygoat.com,satire,,,0
darkmoon.me,hate,bias,,0
darkpolitricks.com,bias,conspiracy,,0
dataasylum.com,unknown,,,0
DaveJanda.com,unreliable,,,0
davidduke.com,hate,,,0
davidstockmanscontracorner.com,political,,,0
davidwolfe.com,conspiracy,,,0
dcclothesline.com,conspiracy,junkscience,,0
dcgazette.com,fake,,,0
dcleaks.com,unreliable,,,0
DeadLineLive.info,unknown,,,0
DeadlyClear.wordpress.com,unknown,,,0
debunkingskeptics.com,unknown,,,0
defenddemocracy.press,bias,political,,0
delectabledietofpics.net,unknown,,,0
dennismichaellynch.com,political,,,0
denverguardian.com,fake,,,0
departed.co,fake,,,0
der-postillon.com,satire,,,0
derfmagazine.com,satire,,,0
DeviantInvestor.com,unknown,,,0
dineal.com,junksci,,,0
disclose.tv,satire,conspiracy,,0
disclosuremedia.net,conspiracy,,,0
discoverthenetworks.org,unknown,,,0
discovery.org,unknown,,,0
dissentmagazine.org,political,,,0
diversitychronicle.wordpress.com,satire,,,0
doctorhousingbubble.com,unknown,,,0
DollarVigilante.com,bias,,,0
donaldtrumpnews.co,fake,,,0
Dont-Tread-On.Me,conspiracy,,,0
downtrend.com,fake,satire,,0
DProgram.net,unknown,,,0
drudgereport.com,bias,bias,,0
drudgereport.com.co,fake,,,0
duffleblog.com,satire,,,0
duhprogressive.com,satire,,,0
Dutchsinse.com,conspiracy,,,0
EagleRising.com,bias,clickbait,,0
EbolaHoax.com,conspiracy,,,0
economicnoise.com,unknown,,,0
ecowatch.com,unknown,,,0
EdgeTraderPlus.com,unknown,,,0
educate-yourself.org,conspiracy,junksci,,0
educateinspirechange.org/health,clickbait,junksci,,0
electionnightgatekeepers.com,conspiracy,unreliable,,0
elelephantintheroom.blogspot.com,bias,,,0
elitereaders.com,clickbait,,,0
elkoshary.com,satire,,,0
elmundotoday.com,satire,,,0
embols.com,fake,,,0
empireherald.com,fake,satire,,0
empirenews.net,fake,satire,,0
empiresports.co,satire,,,0
Emptywheel.net,political,,,0
enabon.com,fake,,,0
endingthefed.com,bias,,,0
endoftheamericandream.com,unknown,,,0
endtime.com,unknown,,,0
enduringvision.com,fake,,,0
english.ruvr.ru,unknown,,,0
EUTimes.net,hate,conspiracy,,0
eutopia.buzz,fake,satire,conspiracy,0
everydayworldnews.com,unknown,,,0
everythingnewdaily.com,unknown,,,0
ewao.com,junksci,,,0
ExperimentalVaccines.org,unknown,,,0
ExplosiveReports.Com,unknown,,,0
Expose1933.com,conspiracy,hate,,0
express.co.uk,unknown,,,0
extraclubmagazine.com,bias,clickbait,fake,0
eyeopening.info,conspiracy,junksci,,0
fairus.org,unknown,,,0
fakingnews.com,fake,satire,,0
familysecuritymatters.org,conspiracy,bias,,0
fantasticword.com,unknown,,,0
FarmWars.info,unknown,,,0
federalistpress.com,bias,,,0
fellowshipoftheminds.com,conspiracy,junksci,,0
filmsforaction.org,political,,,0
FinancialSense.com,unknown,,,0
FinancialSurvivalNetwork.com,unreliable,bias,,0
firearmscoalition.org,unknown,,,0
floridasunpost.com,fake,satirical,,0
flyheight.com,unknown,,,0
fmobserver.com,satire,,,0
fognews.ru,satire,,,0
foodbabe.com,junksci,,,0
foreignpolicyjournal.com,political,,,0
fort-russ.com,unknown,,,0
fourwinds10.net,conspiracy,junksci,,0
fprnradio.com,conspiracy,fake,,0
freakoutnation.com,bias,,,0
FreeBeacon.com,bias,,,0
freedomdaily.com,fake,,,0
FreedomForceInternational.com,conspiracy,,,0
freedomoutpost.com,conspiracy,bias,,0
FreedomsPhoenix.com,bias,conspiracy,,0
freedomworks.org,unknown,,,0
FreemansPerspective.com,unknown,,,0
freepatriot.org,satire,,,0
FreeStateProject.org,unknown,,,0
freewoodpost.com,satire,,,0
fridaymash.com,satire,,,0
fromthetrenchesworldreport.com,conspiracy,junksci,bias,0
frontpagemag.com,bias,hate,,0
FTMDaily.com,unknown,,,0
FullSpectrumDominance.com,unknown,,,0
fusion.net,political,,,0
gaia.com,conspiracy,junksci,,0
gainspainscapital.com,unknown,,,0
galacticconnection.com,junksci,,,0
gangstergovernment.com,conspiracy,bias,,0
GATA.org,unknown,,,0
gatesofvienna.net,hate,conspiracy,,0
geoengineeringwatch.org,junksci,conspiracy,,0
geopolmonitor.com,political,,,0
GlobalEconomicAnalysis.com,unknown,,,0
globalresearch.ca,conspiracy,,,0
GlobalWealthProtection.com,unknown,,,0
GloomBoomDoom.com,unknown,,,0
glossynews.com,satire,,,0
godlikeproductions.com,conspiracy,,,0
GoldBroker.com,unknown,,,0
GoldCore.com,unknown,,,0
GoldMoney.com,unknown,,,0
GoldSeek.com,unknown,,,0
GoldSilver.com,unknown,,,0
GoldSilverBitcoin.com,unknown,,,0
GoldSilverWorlds.com,unknown,,,0
GoldSwitzerland.com,unknown,,,0
golemxiv.co.uk,unknown,,,0
gomerblog.com,satire,,,0
goneleft.com,fake,,,0
GonzaloLira.Blogspot.com,unknown,,,0
gopthedailydose.com,fake,conspiracy,bias,0
govtslaves.info,conspiracy,,,0
greanvillepost.com,conspiracy,,,0
GreenMedInfo.com,unknown,,,0
guardianlv.com,political,,,0
guccifer2.wordpress.com,unreliable,,,0
gulagbound.com,bias,,,0
hangthebankers.com,bias,conspiracy,,0
healthimpactnews.com,junksci,bias,,0
healthnutnews.com,junksci,,,0
healthy-holistic-living.com,unknown,,,0
heamericanconservative.com,unknown,,,0
heartland.org,unknown,,,0
heatst.com,bias,,,0
helastlineofdefense.org,unknown,,,0
HendersonLeftHook.wordpress.com,unknown,,,0
henrymakow.com,fake,conspiracy,,0
herebel.media.com,unknown,,,0
heresyblog.net,bias,conspiracy,rumor,0
heritage.org,unknown,,,0
holyobserver.com,satire,,,0
horowitzfreedomcenter.org,unknown,,,0
HowToVanish.com,unknown,,,0
hudson.org,unknown,,,0
humansarefree.com,conspiracy,,,0
humortimes.com,satire,,,0
huzlers.com,satire,,,0
ibankcoin.com/flyblog/,unknown,,,0
icr.org,unknown,,,0
ifyouonlynews.com,unreliable,satire,,0
ihavethetruth.com,bias,clickbait,fake,0
ijr.com,bias,unreliable,,0
illuminati-news.com,unknown,,,0
ilovemyfreedom.org,bias,clickbait,,0
in5d.com,junksci,,,0
indiaarising.com,clickbait,unreliable,,0
infiniteunknown.net,unknown,,,0
informationclearinghouse.info,conspiracy,unreliable,,0
informetoday.com,bias,unreliable,,0
infostormer.com,fake,hate,conspiracy,0
infowars.com,conspiracy,,,0
instaworldnews.com,bias,,,0
intellihub.com,conspiracy,unreliable,,0
InternationalMan.com,unknown,,,0
intrendtoday.com,fake,clickbait,,0
intrepidreport.com,bias,,,0
investmentresearchdynamics.com,conspiracy,,,0
investmentwatchblog.com,bias,fake,,0
ironictimes.com,satire,,,0
islamicanews.com,satire,,,0
itaglive.com,fake,,,0
ITCCS.org,unknown,,,0
ItMakesSenseBlog.com,fake,,,0
iwanttoexplore.com,fake,,,0
jackpineradicals.com,political,,,0
jacobinmag.com,political,,,0
jamesrgrangerjr.com,bias,,,0
jessescrossroadscafe.blogspot.com,unknown,,,0
jesus-is-savior.com,conspiracy,,,0
jewsnews.co.il,unreliable,bias,clickbait,0
jihadwatch.org,unknown,,,0
JohnGaltfla.com,unknown,,,0
johngaltfla.com/wordpress,unknown,,,0
johnnyrobish.com,satire,,,0
jonesreport.com,conspiracy,,,0
jookos.com,unknown,,,0
journal-neo.org,bias,,,0
JSMineset.com,unknown,,,0
judicialwatch.org,unknown,,,0
katehon.com,bias,,,0
katehon.org,unknown,,,0
"Kauilapele,com",unknown,,,0
kereport.com,unknown,,,0
kingworldnews.com,unknown,,,0
knowledgeoftoday.org,unknown,,,0
landoverbaptist.org,satire,,,0
LaRouchePac.com,unknown,,,0
leap2020.eu,unknown,,,0
legorafi.fr,unknown,,,0
lewrockwell.com,bias,unreliable,,0
LFB.org,unknown,,,0
lfb.org,unknown,,,0
liberalamerica.org,clickbait,bias,,0
liberalbias.com,satire,,,0
liberaldarkness.com,satire,fake,,0
libertyblitzkrieg.com,fake,,,0
libertyfederation.com,hate,,,0
libertymovementradio.com,conspiracy,,,0
libertynews.com,unreliable,bias,,0
libertytalk.fm,conspiracy,,,0
libertyunyielding.com,bias,,,0
libertyvideos.org,conspiracy,,,0
libertywritersnews.com,clickbait,bias,unreliable,0
lifeandabout.com,bias,,,0
lifenews.com,bias,clickbait,,0
lifeprevention.com,junksci,,,0
lifesitenews.com,clickbait,bias,,0
lifezette.com,clickbait,,,0
lightlybraisedturnip.com,unknown,,,0
liveactionnews.org,bias,,,0
livefreelivenatural.com,malware warning,,,0
livevote.com,clickbait,,,0
lushforlife.com,satire,,,0
Mad-Yet.blogspot.com,unknown,,,0
madpatriots.com,unreliable,clickbait,,0
madworldnews.com,unreliable,clickbait,,0
madworldnews.com,unreliable,hate,,0
magafeed.com,rumor,bias,,0
makeamericagreattoday.com,bias,fake,,0
MarketDailyNews.com,unknown,,,0
MarketOracle.co.uk,unknown,,,0
marshallreport.com,unknown,,,0
MaxKeiser.com,unknown,,,0
mediamass.net,fake,,,0
mediazone.news,rumor,unreliable,,0
megafreshnews.com,rumor,,,0
megynkelly.us,fake,,,0
MemoryHoleBlog.com,unknown,,,0
MilesFranklin.com,unknown,,,0
militianews.com,conspiracy,bias,hate,0
MineWeb.com,unknown,,,0
mintpressnews.com,political,,,0
Mises.ca,unknown,,,0
molonlabemedia.com,unknown,,,0
moonofalabama.org,bias,,,0
morningledger.com,unknown,,,0
morningnewsusa.com,unreliable,,,0
mpidailymagazine.com,fake,bias,,0
mrc.org,unknown,,,0
mrconservative.com,fake,satire,,0
msnbc.website,fake,,,0
MyBudget360.com,unknown,,,0
mydailyrelaxation.com,unknown,,,0
myfreshnews.com,fake,bias,,0
myzonetoday.com,fake,bias,,0
nahadaily.com,satire,,,0
nakedcapitalism.com,political,,,0
NarcoNews.com,unknown,,,0
nasamoonhoax.com,unknown,,,0
NationaLlibertyAlliance.org,unknown,,,0
nationalreport.net,satire,fake,,0
nationalreview.com,unknown,,,0
NationalUFOCenter.com,unknown,,,0
nationindistress.weebly.com,conspiracy,,,0
nationonenews.com,fake,conspiracy,,0
naturalblaze.com,junksci,conspiracy,,0
naturalnews.com,junksci,conspiracy,,0
nbc.com.co,fake,,,0
nbcpolitics.org,unknown,,,0
nbcpoll.com,unknown,,,0
ncscooper.com,satire,,,0
netdania.com,unknown,,,0
nevo.news,unreliable,bias,,0
newcenturytimes.com,unreliable,bias,,0
newcoldwar.org,political,,,0
news4ktla.com,fake,satire,,0
newsbbc.net,fake,,,0
newsbiscuit.com,satire,,,0
newsbreakers.org,satire,,,0
NewsBuster.com,unknown,,,0
newsbuzzdaily.com,fake,,,0
newscenterusa.com,unknown,,,0
newscorpse.com,bias,,,0
newsexaminer.net,fake,satire,,0
newsfrompolitics.com,fake,,,0
newslo.com,fake,,,0
Newsmax.com,unreliable,bias,,0
newsmutiny.com,satire,fake,,0
newsninja2012.com,bias,,,0
newsopening.com,unknown,,,0
newstarget.com,conspiracy,,,0
newsthump.com,satire,,,0
newstoad.net,satire,,,0
newswatch28.com,fake,,,0
newswatch33.com,fake,,,0
newswire-24.com,rumor,unreliable,,0
newswithviews.com,fake,conspiracy,,0
newyorker.com/humor,satire,,,0
nodisinfo.com,conspiracy,unreliable,,0
NomadCapitalist.com,unknown,,,0
NomiPrins.com,unknown,,,0
NoMoreFakeNews.com,conspiracy,,,0
nonaiswa.org/wordpress,unknown,,,0
northcrane.com,unreliable,,,0
notallowedto.com,clickbait,fake,,0
NoTime4Bull.com,unknown,,,0
now8news.com,fake,,,0
nowtheendbegins.com,conspiracy,,,0
npiamerica.org,unknown,,,0
NutritionalAnarchy.com,unknown,,,0
nymeta.co,clickbait,satire,,0
nyuzer.com,unknown,,,0
oann.com,unknown,,,0
oathkeepers.org,unknown,,,0
objectiveministries.org,satire,,,0
observatorial.com,unknown,,,0
observer.com,unknown,,,0
OCCUPY.com,unknown,,,0
occupydemocrats.com,clickbait,bias,unreliable,0
occupyliberals.com,bias,clickbait,,0
odgossip.com,unknown,,,0
off-guardian.org,bias,conspiracy,,0
OffGridSurvival.com,unknown,,,0
OfTwoMinds.com,unknown,,,0
oftwominds.com,bias,conspiracy,,0
oilgeopolitics.net,conspiracy,,,0
onlineconservativepress.com,fake,conspiracy,bias,0
opednews.com,unknown,,,0
openmindmagazine.com,bias,conspiracy,,0
orientalreview.org,bias,conspiracy,,0
other98.com,clickbait,bias,unreliable,0
pakalertpress.com,fake,,,0
pamelageller.com,conspiracy,fake,bias,0
PandaUnite.org,unknown,,,0
patdollar.com,bias,clickbait,,0
patriotarchives.blogspot.com,unknown,,,0
patriotchronicle.com,bias,clickbait,,0
patriotnewsdaily.com,bias,,,0
patriotnewsdaily.com,satire,,,0
patriotpost.us,unknown,,,0
patriotrising.com,bias,conspiracy,,0
patriotupdate.com,bias,conspiracy,,0
paulcraigroberts.org,bias,conspiracy,,0
PeakProsperity.com,unknown,,,0
Perpetualassets.com,unknown,,,0
pjmedia.com,unknown,,,0
plata.com.mx/mplata/articulos/articles.asp,unknown,,,0
platosguns.com,bias,conspiracy,bias,0
policestateusa.com,unknown,,,0
policyreview.info,unknown,,,0
Politcalpiehole.com,unknown,,,0
politicalblindspot.com,conspiracy,junkscience,,0
politicalcult.com,bias,clickbait,conspiracy,0
politicalears.com,unreliable,clickbait,,0
politicalo.com,fake,,,0
PoliticalPieHole.com,unknown,,,0
politicalsitenews.com,fake,,,0
politicaltimes.org,unknown,,,0
PoliticalTracker.com,unknown,,,0
politicalupdator.com,fake,clickbait,bias,0
politicops.com,satire,unreliable,,0
politicsbreaking.com,unknown,,,0
politicsinformation.com,unknown,,,0
politicsinfotoday.com,unknown,,,0
politicsintheusa.com,unreliable,vias,,0
politicsinusa.com,unknown,,,0
politicususa.com,clickbait,unreliable,,0
powerlineblog.com,unknown,,,0
powerpoliticians.com,unreliable,,,0
pravda.ru,bias,rumor,conspiracy,0
pravdareport.com,bias,rumor,conspiracy,0
prepperwebsite.com,conspiracy,fake,,0
presidentialvoting2016.com,political,bias,unreliable,0
press24.us,unknown,,,0
presstv.com,bias,unreliable,,0
presstv.ir,bias,unreliable,,0
prisonplanet.com,conspiracy,,,0
prisonplanet.com,conspiracy,,,0
prisonplanet.tv,conspiracy,,,0
prntly.com,fake,,,0
proamericanews.com,unknown,,,0
progressivestoday.com,unknown,,,0
projectveritas.com,bias,unreliable,political,0
proudcons.com,fake,bias,,0
proudemocrat.com,political,,,0
PublicIntelligence.net,unknown,,,0
qpolitical.com,bias,clickbait,,0
Radio.GoldSeek.com,unknown,,,0
randpaulreview.com,unknown,,,0
rawforbeauty.com,junksci,,,0
rawstory.com,political,clickbait,,0
rawws.com,unknown,,,0
rbth.com,unknown,,,0
react365.com,fake,,,0
readconservatives.news,bias,fake,clickbait,0
readynutrition.com,unknown,conspiracy,,0
reagancoalition.com,bias,fake,clickbait,0
realfarmacy.com,junksci,conspiracy,,0
realnewsrightnow.com,fake,satire,,0
realplanetnews.com,junksci,,,0
realprogress.online,unknown,,,0
realtimepolitics.com,bias,unreliable,,0
redflagnews.com,bias,conspiracy,unreliable,0
RedIceCreations.com,unknown,,,0
redstate.com,political,clickbait,,0
redstatewatcher.com,bias,clickbait,,0
reductress.com,satire,,,0
regated.com,bais,,,0
remedydaily.com,clickbait,,,0
rense.com,conspiracy,junksci,,0
responsibletechnology.org,junksci,,,0
returnofkings.com,hate,,,0
revolutions2040.com,junksci,clickbait,,0
rhotv.com,fake,,,0
RickAckerman.com,unknown,,,0
rickwells.us,fake,conspiracy,,0
rightalert.com,bias,unreliable,,0
righton.com,unknown,,,0
RightSideNews.com,unknown,,,0
rightwingnews.com,bias,unreliable,,0
rilenews.com,fake,satire,,0
rinf.com,political,,,0
rockcitytimes.com,satire,,,0
ronpaulinstitute.org,political,,,0
rumormillnews.com,conspiracy,junksci,rumor,0
RunToGold.com,unknown,,,0
ruptly.tv,political,,,0
russia-direct.org,unknown,political,,0
russia-insider.com,bias,clickbait,,0
satiratribune.com,satire,,,0
satirewire.com,satire,,,0
scrappleface.com,satire,,,0
SeanKerrigan.com,unknown,,,0
secretsofthefed.com,conspiracy,junksci,,0
sensationalisttimes.com,satire,,,0
sentinelblog.com,conspiracy,junksci,,0
sgtreport.com,unknown,,,0
shadowproof.com,unknown,,,0
ShadowStats.com,unknown,,,0
sheepkillers.com,conspiracy,junksci,,0
shiftfrequency.com,unknown,,,0
shoebat.com,conspiracy,bias,,0
shtfplan.com,unknown,,,0
silentmajoritypatriots.com,unknown,,,0
Silver-Coin-Investor.com,conspiracy,bias,unreliable,0
SilverBearCafe.com,conspiracy,,,0
SilverDoctors.com,conspiracy,bias,,0
SilverInvestingNews.com,unknown,,,0
SilverSeek.com,unknown,,,0
SilverStealers.net,conspiracy,,,0
SilverStrategies.com,unknown,,,0
SJLendman.Blogspot.com,bias,,,0
skeptiko.com,conspiracy,junksci,,0
smartknowledgeu.com/blog,unknown,,,0
solari.com/blog,unknown,,,0
sonsoflibertyradio.com,conspiracy,bias,unreliable,0
sott.net,unknown,,,0
sourceplanet.net,unknown,,,0
southfront.org,unknown,,,0
southweb.org,unknown,,,0
SovereignMan.com,unknown,,,0
speciallifeentertainment.com,unknown,,,0
speld.nl,unknown,,,0
spinzon.com,unknown,,,0
sportspickle.com,satire,,,0
sputniknews.com,bias,state,,0
SRSroccoReport.com,unknown,,,0
statenation.co,unknown,,,0
STAWealth.com,unknown,,,0
SteveQuayle.com,unknown,,,0
stneotscitizen.com,satire,,,0
stormcloudsgathering.com,fake,,,0
strategic-culture.org,unknown,,,0
stuppid.com,satire,,,0
subjectpolitics.com,fake,bias,,0
suggesthealthytips.com,unknown,,,0
superstation95.com,unknown,,,0
supremepatriot.com,fake,bias,,0
surenews.com,unknown,,,0
surrealscoop.com,satire,,,0
SurvivalBlog.com,unknown,,,0
SurvivalKnowHow.net,unknown,,,0
survivopedia.com,unknown,,,0
szandorblestman.com/index.php,unknown,,,0
tap-news.com,unknown,,,0
tdnewswire.com,unknown,,,0
teapartyeconomist.com,unknown,,,0
teapartytribune.com,unknown,,,0
tellmenow.com,unknown,,,0
TenthAmendmentCenter.com,unknown,,,0
the-newspapers.com,unknown,,,0
theamericancause.org,unknown,,,0
theamericanindependent.wordpress.com,fake,bias,,0
theamericanmirror.com,unknown,,,0
theantimedia.org,unknown,,,0
TheAuReport.com,unknown,,,0
theautogear.com,unknown,,,0
thebeaverton.com,satire,,,0
theblaze.com,political,clickbait,,0
thebostontribune.com,fake,,,0
TheBRICSPost.com,unknown,,,0
TheBrowser.com,unknown,,,0
TheBurningPlatform.com,unknown,,,0
thecarsmagazine.com,unknown,,,0
thecivilian.co.nz,unknown,,,0
thecommonsenseshow.com,fake,conspiracy,,0
theconservativetreehouse.com,unknown,,,0
thecontroversialfiles.net,fake,clickbait,,0
TheCroweHouse.com,unknown,,,0
thedailybeast.com,political,,,0
thedailybell.com,unknown,,,0
TheDailyCoin.org,unknown,,,0
TheDailyCrux.com,unknown,,,0
thedailymash.co.uk,satire,,,0
thedailysheeple.com,conspiracy,bias,,0
thedailywtf.com,satire,,,0
thedemocratic.site,unknown,,,0
theduran.com,unreliable,,,0
theearthchild.co.za,unknown,,,0
theeconomiccollapseblog.com,conspiracy,bias,,0
theeventchronicle.com,conspiracy,junksci,clickbait,0
TheExtinctionProtocol.com,conspiracy,,,0
thefederalistpapers.org,bias,conspiracy,,0
theforbiddenknowledge.com,conspiracy,junksci,,0
thefreepatriot.org,fake,bias,clickbait,0
thefreethoughtproject.com,unreliable,conspiracy,clickbait,0
thegatewaypundit.com,bias,conspiracy,unreliable,0
thegoldandoilguy.com/articles,unreliable,,,0
thegoldwater.com,unknown,,,0
thehardtimes.net,satire,,,0
theineptowl.com,satire,,,0
theinformedamerican.net,unreliable,,,0
theintercept.com,unknown,,,0
TheInternationalForecaster.com,unknown,,,0
TheJanssenReport.net,unknown,,,0
thelastgreatstand.com,fake,conspiracy,bias,0
thelastlineofdefense.org,unknown,,,0
thelibertybeacon.com,conspiracy,junksci,bias,0
thelibertymill.com,unreliable,bias,conspiracy,0
themadisonmisnomer.com,satire,,,0
themideastbeast.com,unknown,,,0
themindunleashed.com,conspiracy,junksci,clickbait,0
themindunleashed.org,conspiracy,junksci,clickbait,0
TheMogamboGuru.com,unknown,,,0
themuslimissue.wordpress.com,hate,conspiracy,,0
themznews.info,unknown,,,0
thenewamerican.com,unknown,,,0
thenewinquiry.com,unknown,,,0
thenewsdoctors.com,unknown,,,0
TheNewsFile.com,unknown,,,0
thenewsnerd.com,satire,,,0
theonion.com,satire,,,0
theopenscroll.blogspot.com,unknown,,,0
theorganicprepper.ca,unknown,,,0
TheOutsiderClub.com,unknown,,,0
theoxymoron.co.uk,unknown,,,0
thepeoplescube.com,unknown,,,0
ThePeoplesVoice.net,unknown,,,0
